x,y
4778.6,3251
4514.6,3267.8
4395.2,3274.6
4700.5,3285
4082.2,3306.2
4626.5,3306.1
4651.9,3309.5
4641.4,3310.6
4081.7,3316
4420.3,3317.6
4618.3,3318.5
4089,3319.6
4373.5,3321.9
4076.7,3323.2
4659,3331.2
4281,3334.1
4250.4,3335.9
4256.2,3337.5
4276.7,3344.5
4655.5,3350.9
4286.7,3358
4777.5,3358.3
4374.7,3373.9
4451.2,3374.7
4487,3380.1
4181.1,3388.6
4481.2,3388.7
4440.4,3393.7
4531.8,3406.1
4529.5,3413
4520.5,3415
4516,3417
4685.3,3423.5
4064.6,3424.4
4498,3424.5
4551.4,3434.6
4529,3435.6
4522.8,3435.4
4498.5,3443
4214.7,3448.2
4077.2,3447.7
4097.8,3464.6
4138.8,3466.3
4520.3,3470.2
4663.5,3484.1
4225.2,3508.2
4437.5,3510
4061.4,3530.2
3863.1,3532.7
3790.6,3561
3950.9,3593
3838.4,3612.8
3906.7,3618.8
3914,3627.7
3890,3641.2
3326.4,3705.2
3903.9,3707.6
3695.3,3889.3
3219.2,3896.4
3692.6,3898.5
3738.7,3902.1
3717.2,3909.8
3948.7,3913.8
3358.7,3949.8
3742.5,3954.6
3426,3964.5
3460.3,4036.6
3189.5,4040.3
3841,4052.6
3536.4,4095.7
3398.7,4113.3
3770.5,4132.2
3200.9,4147.9
3281.2,4152.5
3242.2,4155.3
3221.3,4155.1
3336.1,4156.6
3343.1,4158.2
3235.9,4160.4
3426.9,4160.6
3291.1,4189.1
3610.6,4192.7
3892.1,4194.6
3612.4,4203.7
3294.8,4253.4
3711,4269.6
3196.3,4275.3
3925.8,4275.6
3272.5,4274.2
3204.6,4281.2
3176.7,4290.2
3209,4303.7
3243.7,4329.8
3808,4342.2
3567,4357
3661.2,4358.3
3598,4368.3
3196.7,4372.5
3593,4376.2
3620,4386
3666.4,4397.5
3380.5,4401.4
4190.1,3519.3
4063.1,3524.2
4238.5,3532.1
4235.5,3546.7
4108.6,3550.5
4345.3,3573.9
4757.5,3575.2
4337.6,3575.7
4416.8,3578.2
4396.2,3579.9
4719.1,3592.3
4395.3,3593.2
4402.3,3601.5
4588,3618.1
4728.6,3644.9
4419.5,3644.9
4415.1,3646.9
4383.9,3653
4712.7,3659.5
4174.7,3660.9
4053.5,3667
4176.4,3667.8
4489.8,3677.8
4301.3,3688.7
4026.4,3690.1
4452.3,3714.4
4368.8,3721.3
4108.8,3722.4
4140.7,3743.6
4264.8,3753
4313.8,3759.6
4199,3781.5
4729.3,3781
4524.6,3782.3
4110.5,3782.6
4106,3799.6
4113.1,3805.1
4120.2,3808.7
4104.1,3811.8
4110.7,3814
4091.5,3823.1
4716.1,3825
4255.5,3879.4
4491.4,3919.4
4697.7,3925.4
4002.8,3926.1
4697.9,3963.5
4506,3967.6
4482.1,3971
4302.5,3974.8
4502.8,3973.3
