x,y
3226.1,4775.7
3393.4,4774.9
3267.4,4780.3
3297.5,4775.3
3259.2,4779.2
3777,4775.7
3669.9,4775.9
3402.4,4779.8
3444.1,4777.2
3185.7,4781.2
3251.9,4782.4
3385.5,4778.1
3203.5,4778.7
3467.2,4778.2
3341.4,4780.6
3449.6,4780.3
3664.7,4778.2
3552.6,4782.3
3834.7,4787.6
3591.4,4783.2
3298,4785
3481.7,4784.2
3306.2,4783.4
3507,4784.2
3703.7,4786.8
3385.8,4786.8
3516.3,4786.3
3205.6,4784.1
3560.2,4786.1
3713.8,4786.1
3745,4788.5
3314.1,4788.3
3488.5,4791
3217.1,4790.4
3494.3,4787.7
3181.6,4790.4
3281.6,4791.4
3648.6,4792
3710.1,4790.8
3806.9,4789.9
3309.6,4791.7
3774.7,4789.9
3260,4792.9
3269.8,4792.2
3324.6,4792
3336.2,4795.1
3418.9,4793
3557.1,4794.3
3740.7,4797.3
3463.4,4792.9
3767.7,4793
3671.1,4795.6
3190.2,4797.1
3542.6,4794.5
3507.4,4796.1
3721.4,4796
3316.1,4795.7
3658.4,4798.6
3811.2,4795.3
3234.7,4800.1
3279.7,4800.9
3350.3,4797.3
3394.9,4798.1
3481.1,4795.3
3617.9,4796.1
3715.4,4795.5
3289.3,4805.8
3299.9,4798.6
3613,4799.8
3855.9,4799.9
3588.4,4801.6
3403.6,4801.4
3489.2,4802.5
3572.8,4804.4
3716.5,4802.8
3734.4,4800.5
3537.8,4806.2
3764.8,4802.2
3786.4,4802.8
3605.6,4803.1
3890.7,4804.3
3598.8,4803.6
3313.5,4805.5
3187,4805.5
3353,4806.7
3367.6,4804.6
3667.4,4805.7
3331.4,4808.5
3450.8,4805.9
3744.3,4805.9
3377.9,4810.7
3299.3,4807.7
3622,4808.6
3676.9,4810.8
3337.2,4807.6
3437.3,4808.5
3725.6,4807.1
3553.8,4811.5
3428.4,4809.2
3564.3,4812
3608.6,4809.4
3193.9,4812
3582.3,4810.8
3822.2,4809.8
3718.2,4811.3
3781.6,4811.7
3662.3,4812.3
3730.2,4814.3
3341.1,4813.8
3906,4814.9
3295.6,4812.5
3208.5,4813.3
3775.3,4813.8
3261.8,4814.7
3745,4814.4
3214.2,4814.8
3701.7,4818.5
3314.9,4815.5
3454.4,4821.1
3623.7,4816.4
3792.8,4814.5
3433.5,4817.4
3590.2,4817.8
3816.3,4817.9
3427.6,4817.9
3471.8,4821.1
3442.6,4817.9
3321,4820.9
3374,4818
3334.6,4821.1
3203.5,4825
3629,4826.3
3601,4820.5
3409.1,4825.2
3343.6,4822.5
3782.8,4823
3382.5,4823.1
3544.8,4822.3
3669.4,4823.4
3218.7,4823.1
3268.9,4827.5
3361.5,4825.5
3550.8,4822
3651.7,4823.1
3758,4828.8
3295.6,4825.3
3657.2,4825.6
3378.3,4831.6
3423.8,4824.5
3855.6,4826.8
3189.7,4827.7
3442.7,4831
3808.9,4826
3554.8,4825.5
3621.9,4829.7
3258.2,4834.1
3338.7,4827.5
3368.8,4831.8
3549.7,4827.7
3634.7,4827.6
3707.6,4829.2
3227.7,4830.5
3326.4,4828.8
3713.9,4828.9
3543,4831.2
3561.2,4831.5
3504.7,4830.8
3384.7,4830.8
3331.6,4832.8
3478.1,4833.8
3924,4831.9
3433.2,4835
3749.4,4837.2
3301.7,4833.1
3275.6,4833.8
3407.8,4835.3
3634.7,4836.7
3359.1,4836.5
3718.7,4836.2
3796.8,4833.9
3586.1,4834.8
3743.4,4837
3190.1,4835
3726.6,4837.4
3778.8,4838.2
3399.9,4843.3
3566.5,4839.6
3302.2,4844.2
3589.9,4839.7
3252.1,4839.9
3504.5,4840.8
3584.3,4841.4
3189.4,4840.3
3791.1,4840.4
3814.9,4841.5
3308.5,4842.7
3328.1,4842.1
3412.8,4841
3264.7,4843.3
3621.1,4844.5
3756.7,4841.9
3197.4,4846
3368.7,4844
3538.1,4845.1
3407.9,4843.6
3669.4,4847.5
3720.6,4843.8
3528,4846.8
3361.5,4844.4
3557.1,4844.7
3695.5,4847.6
3333.8,4847.3
3802.2,4844.2
3294.2,4845.8
3451.6,4846.6
3189.6,4847.5
3889.7,4850.3
3435.6,4851
3605.1,4849.6
3796.6,4848.4
3829.5,4849
3842.6,4847.3
3176.6,4850.5
3654,4849.3
3324.7,4848
3581,4853.7
3645.2,4851.2
3883.2,4848.8
3236.7,4852.4
3283,4848.6
3411.4,4854.8
3561.6,4849.5
3589,4852.4
3387.6,4854.2
3596.3,4850.3
3637.4,4855
3445.4,4850.7
3364,4851.4
3313.2,4852.1
3746.3,4851.3
3194.4,4852.7
3294.3,4857.8
3481.2,4857
3228.3,4856.1
3287.9,4855.6
3324,4853.3
3451.8,4859.9
3222.3,4855.1
3301.7,4855.6
3734.4,4856.6
3404.6,4855.4
3671.2,4856.1
3245.4,4859.2
3510.2,4857.3
3531.9,4856.4
3556.9,4856.8
3443.7,4860.1
3714.2,4860.5
3805.7,4859.4
3192.6,4858.6
3199.2,4862.2
3269.4,4857.9
3280.3,4860.1
3322.5,4859.5
3312.9,4860.9
3674.2,4859.4
3758.6,4860.4
3882.3,4862.5
3344.9,4867.2
3497.9,4863
3606.9,4863.6
3220.5,4862.1
3419.2,4863.2
3403.3,4866
3234.4,4868.2
3739,4868.7
3840.6,4865.8
3271.8,4870
3667.7,4864.2
3488,4865.2
3581.7,4864.3
3799.1,4864.7
3863.5,4866.3
3575.5,4867.5
3287,4870.1
3410.9,4866.8
3493.9,4866.8
3535.4,4867.4
3546.8,4868
3318.9,4868.5
3726.2,4867.1
3339.9,4872.1
3209.3,4870
3361.8,4871.1
3222.3,4869.4
3433.9,4875.1
3780.5,4871.2
3183.6,4874.4
3540.5,4873.9
3656,4871.3
3798.5,4871.1
3216.5,4874
3279.8,4874.4
3502,4875.6
3568.1,4873.3
3619.6,4874.8
3682.9,4874.5
3604.4,4873.9
3646.1,4873.7
3247.4,4876.6
3595.8,4876
3357.1,4878.2
3405.9,4878.5
3939.7,4874.5
3335,4879.1
3392.4,4877.8
3553.4,4878.1
3796.2,4879.9
3314.4,4880.4
3715.9,4875.5
3205,4879.8
3327,4877.8
3562,4880.1
3235.4,4877.3
3478.8,4881.5
3386.3,4880
3658.5,4879.8
3765.6,4879.6
3294.6,4884
3651.6,4879
3712.7,4879.9
3882.2,4880.5
3667.5,4879.8
3517.2,4880.3
3828.2,4880.3
3456.3,4883.4
3693.2,4883.5
3246.7,4884.7
3414.5,4883.7
3586.5,4882
3684.2,4884.1
3719.5,4882.3
3787.8,4885.5
3602,4884.6
3191,4885.3
3342.7,4886.6
3261.3,4888.1
3286.2,4884.3
3754.5,4886.9
3805.4,4886.8
3367.8,4887
3522.4,4884.8
3220.2,4886.6
3460.8,4887.4
3395.7,4888
3773,4884.4
3433.8,4887.9
3579.5,4889
3836.9,4887
3281.1,4889.9
3663.4,4890.4
3909.5,4888.1
3918.5,4887.2
3493.4,4890.4
3512.6,4887.6
3530.5,4890.4
3201.9,4889.5
3313.3,4891.4
3927.1,4889.1
3774.8,4889.6
3194.9,4893.4
3594.5,4891.5
3780.3,4891.7
3179.1,4891.3
3524.4,4890.2
3289.9,4894.3
3299.3,4894.6
3537.7,4891.8
3619.6,4895.1
3629,4893.9
3685.7,4899.6
3812.4,4893.3
3830.7,4894.6
3697.8,4893.6
3515,4894.7
3247.6,4896.2
3544,4898.1
3221.9,4898
3337.1,4901
3563.8,4899.6
3755,4898.1
3446.6,4903.1
3851.6,4896.2
3705.5,4896.8
3284.2,4906.7
3183.3,4903
3816.5,4899.7
3268.9,4903.1
3423.2,4901.3
3593.8,4899.7
3344.1,4902
3663.4,4899.9
3650.4,4901.3
3933.1,4902.1
3352.4,4906
3632.9,4901.7
3692.7,4901.4
3230.1,4905.8
3459.9,4905.4
3574.8,4904
3700.5,4905
3848.6,4905.9
3252.7,4904.6
3512,4903.2
3638.3,4903.2
3194.2,4910.1
3291.4,4910.6
3317.3,4907.8
3655.6,4905.9
3811.6,4907.9
3839.1,4905.4
3417.7,4909.8
3915.1,4909.5
3693.8,4912.3
3943.2,4907.9
3331.7,4911.2
3595.7,4910
3632.8,4914.6
3667.2,4910.4
3437.9,4908.9
3546.5,4909.5
3624.9,4909.4
3224,4910.4
3389.5,4913.4
3348.1,4914.1
3524.3,4914.1
3644,4918.2
3186.1,4916.6
3722.5,4916.4
3754.5,4916.3
3364.7,4915
3531.4,4917
3736.9,4914.4
3339.7,4916.8
3515.7,4916.6
3835.6,4914.7
3844.8,4916.2
3444.4,4915.1
3320.9,4917.7
3461.9,4918.8
3537.4,4919.2
3615.8,4921.7
3685.8,4920.6
3746.3,4917
3452.4,4918.1
3717.1,4916
3851.2,4916.6
3906.4,4916.7
3227.3,4920.2
3559.5,4918.1
3929.5,4921.5
3206,4920.8
3383.7,4921.1
3783.8,4919.4
3270,4926.2
3370.9,4919.9
3867.3,4919
3420.7,4920.9
3624,4919
3669.2,4921.5
3413.2,4921.7
3602.3,4919.5
3827.4,4919.4
3879.5,4920.2
3331.3,4922.1
3494.2,4924
3288.8,4924.5
3662.9,4920.8
3815.2,4921.1
3275.5,4922.2
3359.2,4921
3508,4921
3732.2,4924.1
3717.6,4923.9
3765.3,4925.6
3912.9,4923
3254.7,4925.6
3406,4927
3790.4,4927.5
3804.7,4922.7
3280.4,4922.7
3348.3,4925.4
3597.5,4923.1
3316.7,4922.8
3676.3,4926.3
3849.3,4925.6
3526,4926.4
3757.3,4925.5
