x,y
3521.5,2713.6
3787.7,2708.1
3809.8,2708.5
3831.7,2711.3
3179.7,2708.7
3386.5,2709.8
3447.4,2712.6
3501.3,2711.6
3561.7,2711.2
3753.7,2709.7
3792.5,2710.8
3464.6,2712.2
3715,2711.9
3246.7,2709.8
3614.9,2710.6
3747.3,2712.2
3920.4,2710.3
3948.6,2709.9
3629.8,2711.9
3644.7,2710.9
3691,2715.7
3419.2,2711.3
3439.6,2710.7
3433.6,2713.4
3661.1,2715.1
3255.5,2715.8
3273.6,2713.5
3474.4,2714.8
3606.7,2712.7
3638.6,2713.5
3854.4,2713
3370.9,2716
3595.9,2712.6
3730,2713.8
3621.1,2713.5
3700.9,2714.2
3459,2715
3484.4,2717.4
3912.7,2716.6
3200.4,2715.8
3289.6,2714.3
3307,2715
3534.2,2718.8
3722.7,2717.1
3797.6,2716.7
3859.5,2715
3228.4,2718
3285.1,2719.7
3301.2,2716.4
3843.3,2717.2
3948.3,2720.2
3516.4,2717.2
3649.9,2719.3
3708.8,2716.7
3753.6,2717.2
3562.6,2719.4
3591.7,2718.5
3901.8,2717
3635.6,2719.5
3809.1,2719.7
3193,2718.8
3937.8,2720.4
3389.8,2721.5
3571.6,2720.3
3600.9,2719.5
3209.4,2718.9
3821.2,2720.3
3410.5,2720.1
3450.2,2723.7
3545,2721.9
3610.8,2720.5
3855.7,2721.4
3421.2,2721.2
3881.2,2721
3398.5,2724.7
3862.8,2726.7
3917.6,2721.7
3430.8,2722
3312.4,2725.7
3628.2,2723
3660.4,2722.8
3886.6,2723.4
3199.4,2723.3
3530.9,2725.4
3729.2,2725.2
3178.4,2724.5
3254.8,2729.6
3522.4,2728.1
3715.6,2726.6
3297.9,2724.4
3841.4,2726.1
3874.3,2728.2
3414.7,2725.3
3610.1,2726.5
3798.5,2725.2
3210.1,2726.8
3665.5,2727.3
3688.4,2729.9
3807.1,2727.2
3818.7,2725.6
3324,2727
3578.4,2726
3585.7,2726.6
3905.2,2727.5
3943.2,2728.3
3952.7,2728.7
3294.7,2728.8
3442.1,2727.2
3470.9,2729.9
3914.5,2728.5
3185.2,2727.2
3285.9,2728.4
3426.6,2728.2
3755.7,2727.8
3204.3,2731
3222.9,2731.7
3231.1,2729.4
3385.9,2729.9
3900.1,2728.3
3459.9,2728.9
3706.9,2731.4
3417.5,2730.6
3494.9,2730.6
3561.6,2729.9
3637.6,2737.5
3181.8,2733.5
3392.4,2731.3
3645,2733
3798.2,2730.4
3821.4,2730.4
3846.9,2730.8
3617,2734.1
3449.3,2734.3
3290.8,2734.6
3764.2,2735.4
3408.1,2732.6
3507.2,2735.9
3669.9,2736.7
3791.8,2736
3905,2735.6
3461.1,2736.6
3551.7,2733.9
3611.3,2733.8
3899.9,2735.4
3559.8,2737.5
3867.2,2734.9
3212.7,2736.7
3305,2736.5
3314.2,2736.8
3533.2,2736.5
3957,2734.8
3235.2,2737.5
3483.4,2738.3
3700.2,2736.7
3843.1,2738.3
3398,2736.9
3471.4,2740.5
3826.4,2736.8
3945.3,2736.9
3477.8,2739.8
3265.7,2739.6
3381.8,2742.7
3415,2740
3807.5,2741.8
3934.9,2739.4
3403.7,2738.5
3526.5,2740.7
3605.1,2744.2
3331.2,2739.8
3429.4,2740.4
3498.7,2738.5
3688.2,2739.8
3203.3,2738.7
3422.8,2739.4
3230.5,2741.1
3274.7,2739.8
3340.2,2740.5
3540.4,2741.5
3454.9,2744.8
3208.1,2741.6
3567.5,2741
3775.5,2740.6
3179.6,2744.2
3220.9,2743.6
3393,2742
3786.1,2742.8
3584.7,2742.7
3941.8,2742.8
3594.3,2743.1
3623.1,2744.3
3824,2744.4
3517.3,2743.5
3847.1,2744.2
3873,2744.9
3980.8,2746.6
3535.5,2747.5
3194.6,2745.4
3212.7,2744.5
3242.3,2746.5
3287.5,2745
3303.1,2745.7
3797.6,2743.8
3816.2,2744.7
3727.2,2746.9
3647.4,2745.4
3660.7,2744.6
3862.9,2749.6
3409,2747.8
3772,2746.9
3883.6,2746.8
3902.6,2747.5
3933.9,2747.1
3292.9,2746.2
3395.2,2747.5
3653,2746.4
3791.9,2747.2
3908.4,2748
3992.8,2748.6
3480.6,2749.3
3677.5,2750.2
3928.4,2748.5
3522.8,2748.7
3332.2,2749.1
3633.6,2750.9
3813.6,2748.4
3878.1,2751.2
3207.3,2749.4
3231.6,2750.2
3658.5,2749
3216.6,2750.5
3511.7,2750
3597,2749.1
3266.5,2753.2
3950.8,2750.6
3959.4,2753.2
3424.7,2751.6
3777.6,2750.6
3785,2751.5
3870.6,2756.5
3183.5,2753.9
3646.6,2753.2
3326.7,2757.4
3403.8,2754.1
3474.7,2752.2
3663.7,2752
3805.3,2755.2
3933.2,2753.7
3239.7,2754.2
3705.8,2756.7
3811.6,2753.4
3250.2,2754.4
3286.1,2755.5
3607.2,2753.9
3520.1,2755.2
3768.7,2755.6
3547.5,2756.8
3599.2,2754.8
3923.6,2758.6
3302.2,2756.9
3715.3,2756.8
3505,2759.4
3992.1,2757.8
3469.3,2757.4
3536.8,2759.5
3566.5,2757.4
3659.8,2759.4
3666.3,2756.9
3817.3,2757.3
3906.7,2758.5
3216,2756.8
3417.8,2757.4
3480.4,2759.4
3542.1,2756.8
3782,2756.6
3339.8,2759.5
3463.4,2757.5
3696.9,2759.2
3899.8,2759.6
3209.2,2760.5
3447.9,2758.3
3627.7,2763.8
3677.3,2760.8
3810,2760.5
3255.4,2761.2
3613.2,2761.9
3928.5,2761.1
3178.9,2760
3453.5,2759.9
3490.9,2759.7
3743.6,2760.3
3779.1,2760.8
3772.5,2763.1
3524.3,2762.3
3185,2762.4
3267.4,2763
3516.2,2762.3
3602.8,2762.3
3668.3,2762.7
3729.7,2762.8
3785.4,2762.3
3594,2762.6
3791.6,2763.3
3346.8,2763.6
3417.3,2766.5
3964.9,2763.2
3462,2764.5
3573.8,2767.6
3683.5,2764.7
3469.3,2766.3
3891.7,2765.5
3365.4,2766
3430.5,2767.8
3555.2,2769.6
3947.9,2766.7
3831.8,2768.9
3908.4,2767.4
3991.6,2767.1
3342.3,2766.6
3506.2,2766.4
3545.8,2768.6
3733.7,2770.5
3858.5,2766.1
3932.8,2770.1
3438.7,2768.9
3487.5,2767.5
3493.4,2767.4
3723.2,2768
3801,2770.3
3809,2769
3958.8,2770.2
3301.4,2768.6
3867.2,2768.6
3452.7,2769.5
3513.2,2768.7
3519.8,2770.3
3661.2,2770.8
3672.3,2768.3
3897.4,2768.4
3500.3,2770.1
3616.2,2771.1
3780.2,2771
3677.7,2770.4
3790.7,2773.8
3849.8,2772.1
3306,2771
3986.6,2772.6
3976.6,2774.3
3368.9,2775.8
3568,2774.4
3629.4,2775
3965.7,2775.1
3460,2776
3475.6,2775.8
3856.5,2779.9
3440.8,2778.4
3506.2,2775.3
3669.9,2775.6
3483.7,2776.5
3648.1,2776.9
3906.8,2777.3
3287,2777
3433.7,2775.6
3740.6,2776.3
3862.3,2775.3
3952.2,2775.1
3360.5,2776.4
3534.8,2780.1
3543.3,2780.1
3295.5,2780.9
3515.2,2779.7
3784.4,2780.6
3812.1,2778.2
3823.6,2779
3187.7,2779.1
3280.3,2780
3424.6,2778.8
3578.1,2778.4
3611.3,2778.9
3466.7,2778.8
3197.6,2781
3682.2,2783.2
3801.2,2781
3555.3,2780.1
3563.9,2779.2
3688.6,2781.2
3839.3,2781
3900.4,2787.5
3637.8,2782.4
3864.7,2782.6
3233.8,2783
3529,2784.3
3879.5,2782.4
3430.7,2784
3353,2784.8
3790.7,2783
3849.5,2786.3
3567.5,2785.3
3732.1,2783.4
3948.3,2785.1
3309.5,2786.7
3443.2,2785.7
3796,2786.7
3557,2786.2
3674.5,2785.6
3695.8,2788.7
3245.3,2788.4
3611.7,2786.4
3821.5,2787.7
3187.6,2785.6
3196.5,2786.9
3364.5,2786.7
3781.8,2789
3980.7,2787
3456,2786.6
3632.9,2789.4
3955.3,2788.9
3493.8,2788
3260,2790.5
3485.5,2793.5
3644,2789.7
3598.5,2794.2
3884.3,2792.8
3500.2,2788.5
3538.5,2790
3357.7,2792.6
3506.4,2790.3
3586.7,2790.1
3815.6,2791.2
3176.7,2791.2
3202,2790.1
3735.3,2792
3741.4,2794.4
3566.9,2792.8
3619,2790.1
3440.2,2792.5
3581.4,2792.8
3379.3,2796.1
3625.5,2793
3803.5,2791.8
3860.2,2798.5
3182.9,2792.9
3948.4,2793.1
3270.6,2793.7
3330.3,2792.8
3453.5,2794.4
3559,2792.8
3788,2795
3252.2,2795.8
3988.9,2801.5
3238.6,2795.1
3657.1,2797.2
3895.5,2796.6
3279.5,2797.5
3473.8,2796.9
3844.9,2796.2
3205.5,2794.8
3323.6,2798.1
3465,2798.1
3505.1,2799.9
3299.2,2797.1
3591.7,2799.5
3907.7,2800
3958.6,2799.9
3445.5,2798.3
3513.1,2800.4
3823.6,2802.7
3572.8,2797.6
3634.2,2798.5
3645.1,2798.5
3833.9,2800.5
3209.9,2799
3307.4,2801.8
3497.6,2798.8
3547.7,2799.7
3686.9,2802.8
3817.8,2801
3185.7,2802.4
3614.4,2801.1
3947.4,2799.3
3450.5,2800.8
3533.6,2800.1
3566.7,2802.4
3778.6,2801.2
3877.8,2802.5
3246.3,2804.7
3977.4,2807.3
3522.8,2801.6
3539.4,2803.6
3337.8,2801.3
3345,2802.1
3440.7,2802.2
3232.4,2803.7
3603,2807.7
3952.9,2805.1
3286.7,2806.1
3557.4,2808.8
3742.6,2805
3192.5,2804.6
3272.5,2805.8
3330.3,2804.3
3893.9,2804
3472.5,2805.3
3633.3,2804.3
3673.7,2804.1
3384.7,2807.3
3424.9,2807.7
3611.4,2805.3
3838.5,2805.4
3871.1,2805.9
3336.9,2806.2
3898.2,2805.7
3450.6,2806.4
3519.1,2807.2
3575.4,2809.3
3662.6,2807.4
3179.4,2807.7
3439.3,2807.8
3640,2810.2
3828.8,2809.5
3853.7,2808.6
3405.3,2807.5
3511.4,2809.7
3678.1,2807.8
3890.1,2809.5
3499.6,2810.4
3904,2810.5
3201.8,2810.6
3454.9,2809.6
3746.7,2810.1
